  0%|▎                                                                                                                 | 31/10000 [00:04<26:09,  6.35it/s]
Episode 0 | Reward: -9.30
Episode 1 | Reward: 3.90
Episode 2 | Reward: 2.00
Episode 3 | Reward: 2.00
Episode 4 | Reward: 2.00
Episode 5 | Reward: 2.00
Episode 6 | Reward: 2.00
Episode 7 | Reward: 2.00
Episode 8 | Reward: 2.00
Episode 9 | Reward: 2.00
Episode 10 | Reward: 2.00
Episode 11 | Reward: 2.00
Episode 12 | Reward: 2.00
Episode 13 | Reward: 2.00
Episode 14 | Reward: 2.00
Episode 15 | Reward: 2.00
Episode 16 | Reward: 2.00
Episode 17 | Reward: 2.00
Episode 18 | Reward: 2.00
Episode 19 | Reward: 2.00
Episode 20 | Reward: 2.00
Episode 21 | Reward: 2.00
Episode 22 | Reward: 2.00
Episode 23 | Reward: 2.00
Episode 24 | Reward: 2.00
Episode 25 | Reward: 2.00
Episode 26 | Reward: 2.00
Episode 27 | Reward: 2.00
Episode 28 | Reward: 2.00
Episode 29 | Reward: 2.00
Episode 30 | Reward: 2.00
Episode 31 | Reward: 2.00
Episode 32 | Reward: 2.00
Episode 33 | Reward: 2.00
Episode 34 | Reward: 2.00
Episode 35 | Reward: 2.00
Episode 36 | Reward: 2.00
Episode 37 | Reward: 2.00
Episode 38 | Reward: 2.00
Episode 39 | Reward: 2.00
Episode 40 | Reward: 2.00
Episode 41 | Reward: 2.00
Episode 42 | Reward: 2.00
Episode 43 | Reward: 2.00
Episode 44 | Reward: 2.00
Episode 45 | Reward: 2.00
Episode 46 | Reward: 2.00
Episode 47 | Reward: 2.00
Episode 48 | Reward: 2.00
Episode 49 | Reward: 2.00
Episode 50 | Reward: 2.00
Episode 51 | Reward: 2.00
Episode 52 | Reward: 2.00
Episode 53 | Reward: 2.00
Episode 54 | Reward: 2.00
Episode 55 | Reward: 2.00
Episode 56 | Reward: 2.00
Episode 57 | Reward: 2.00
Episode 58 | Reward: 2.00
Episode 59 | Reward: 2.00
Episode 60 | Reward: 2.00
Episode 61 | Reward: 2.00
Episode 62 | Reward: 2.00
Episode 63 | Reward: 2.00
Episode 64 | Reward: 2.00
Episode 65 | Reward: 2.00
Episode 66 | Reward: 2.00
Episode 67 | Reward: 2.00
Episode 68 | Reward: 2.00
Episode 69 | Reward: 2.00
Episode 70 | Reward: 2.00
Episode 71 | Reward: 2.00
Episode 72 | Reward: 2.00
Episode 73 | Reward: 2.00
Episode 74 | Reward: 2.00
Episode 75 | Reward: 2.00
Episode 76 | Reward: 2.00
Episode 77 | Reward: 2.00
Episode 78 | Reward: 2.00
Episode 79 | Reward: 2.00
Episode 80 | Reward: 2.00
Episode 81 | Reward: 2.00
Episode 82 | Reward: 2.00
Episode 83 | Reward: 2.00
Episode 84 | Reward: 2.00
Episode 85 | Reward: 2.00
Episode 86 | Reward: 2.00
Episode 87 | Reward: 2.00
Episode 88 | Reward: 2.00
Episode 89 | Reward: 2.00
Episode 90 | Reward: 2.00
Episode 91 | Reward: 2.00
Episode 92 | Reward: 2.00
Episode 93 | Reward: 2.00
Episode 94 | Reward: 2.00
Episode 95 | Reward: 2.00
Episode 96 | Reward: 2.00
Episode 97 | Reward: 2.00
Episode 98 | Reward: 2.00
Episode 99 | Reward: 2.00
[INFO] Saved actor checkpoint at ./saved_models_ddpg_flappy\ddpg_actor_ep100.pt
Episode 100 | Reward: 2.00
Episode 101 | Reward: 2.00
Episode 102 | Reward: 2.00
Episode 103 | Reward: 2.00
Episode 104 | Reward: 2.00
Episode 105 | Reward: 2.00
Episode 106 | Reward: 2.00
Episode 107 | Reward: 2.00
Episode 108 | Reward: 2.00
Episode 109 | Reward: 2.00
Episode 110 | Reward: 2.00
Episode 111 | Reward: 2.00
Episode 112 | Reward: 2.00
Episode 113 | Reward: 2.00
Episode 114 | Reward: 2.00
Episode 115 | Reward: 2.00
Episode 116 | Reward: 2.00
Episode 117 | Reward: 2.00
Episode 118 | Reward: 2.00
Episode 119 | Reward: 2.00
Episode 120 | Reward: 2.00
Episode 121 | Reward: 2.00
Episode 122 | Reward: 2.00
Episode 123 | Reward: 2.00
Episode 124 | Reward: 2.00
Episode 125 | Reward: 2.00
Episode 126 | Reward: 2.00
